Treatment,Plot Number,Quadrat Number,Fenced,Gap,0,3,6
Control,2,1,False,False,1.422957631006003,1.903229461461994,0.6397478810138537
Control,2,2,False,False,1.4577433807525262,1.972086444253957,1.2582744819500955
Control,2,3,False,False,1.3397966219488495,1.221342013522618,1.1473158146835827
Control,2,4,False,False,1.6815527866410642,2.175981125861106,0.9865606893138343
Control,2,5,False,False,1.3471728898735844,1.5195670627194855,0.7696669752777675
Control,2,6,False,False,1.416731167952681,1.1969999134323164,1.2361806958003656
Control,2,7,False,False,1.2701479678002614,1.4015451938980044,1.0343314961677932
Control,2,8,False,False,0.9795111572812828,0.9045190066275088,0.7477634524669784
Control,2,9,False,False,1.5285810848912917,1.7478680974667578,0.740436314460562
Control,2,10,False,False,1.2766108539793088,1.3087523790808744,0.9980763327771144
Control,2,11,False,False,1.3090896756937973,1.2302546048903362,1.0959795720256091
Control,2,12,False,False,1.363973519205135,0.6987245869654027,0.7240349418360086
Control,2,13,False,False,1.2900213573909207,1.5615325383191478,0.6600940476737164
Control,2,14,False,False,0.8837781967162704,1.2799430398451812,0.8837781967162706
Control,2,15,False,False,2.2538575896013526,1.773151591975083,1.4924865876899138
Control,2,16,False,False,2.0740965945786995,1.3694853267429996,1.7233917060220518
Control,4,1,False,True,1.0948636056359111,1.1376959277275915,0.8529899264462437
Control,4,2,False,False,2.055960564217714,1.7357994822736817,0.8026703878395404
Control,4,3,False,True,0.7552660068532946,0.8788384500429346,0.42698369771646477
Control,4,4,False,True,1.4134946715404564,1.3535956037372772,1.1091859457797952
Control,4,5,False,True,1.396763301667289,1.059451547513154,0.5013593388839706
Control,4,6,False,True,0.8982187629779357,1.6577671097481506,0.49055211820588396
Control,4,7,False,False,0.6046748839534812,1.38577766394538,0.6397478810138537
Control,4,8,False,False,0.8837781967162704,0.9367791046130325,0.5139620148941513
Control,4,9,False,True,0.6811801011637322,1.338397692571909,2.3693821196946767
Control,4,10,False,True,1.3245117640586994,1.8216966823215748,0.5892716132743714
Control,4,11,False,True,0.8262041404665299,1.2884012309413728,0.9609194421369969
Control,4,12,False,False,0.7390570458589872,1.5822598044713707,2.4410152780267023
Control,4,13,False,True,1.3012735723630322,1.0791256170184647,0.9054676676922013
Control,4,14,False,True,1.6809122441610316,1.8417286750815072,1.2308086294221012
Control,4,15,False,False,0.5708077061627648,1.0470827790999222,0.48970870385881915
Control,4,16,False,True,0.9331935549145991,1.9187951682167728,0.6537156626487677
Control,4,17,False,False,0.6811801011637321,1.7315028568485156,2.1639556568820564
Control,4,18,False,False,1.0050446141287661,1.1720789215945469,1.2564807472206176
Control,4,19,False,False,0.8521984098314971,1.1183479864469572,0.6046748839534812
Control,4,20,False,False,1.7751250090009736,1.4647533231421372,1.682618342459702
Control,4,21,False,False,0.9942020361425397,2.3393717343898155,0.8647123171643046
Control,4,22,False,False,1.3139656796908754,1.1720789215945469,1.2993064120383377
Control,4,23,False,False,1.0504016345977447,1.9019272648089849,0.8222900060250078
Control,4,24,False,False,1.0767759226310025,1.3161720255937717,1.0767759226310025
Control,4,25,False,False,1.113188127074204,1.9379780653990002,1.3656825384909106
Control,4,26,False,False,1.4057220242065283,1.1896269514821403,1.061874623765728
Control,4,27,False,False,0.8142823710376789,0.8491566270212731,0.925244732472692
Control,4,28,False,False,1.0767759226310025,1.0114046028090835,0.7971347991462774
Control,4,29,False,False,1.0385868451839835,2.6533048729309274,0.49367623750195055
Control,4,30,False,False,1.0461725657288912,1.7782081004252088,1.1600754508034927
Control,4,31,False,False,1.1354032388089317,1.0436339084878345,0.5139620148941513
Control,4,32,False,False,0.8491566270212729,,2.1639556568820564
Control,6,1,False,False,1.451644291728291,1.736063046543799,0.9281251362219304
Control,6,2,False,False,1.8662606801451271,1.595380659269308,0.9035016154271962
Control,6,3,False,False,1.1262107031592858,0.9317815768239419,0.6320258824977197
Control,6,4,False,False,1.2573179687087428,1.2518923500623877,0.6916160119770728
Control,6,5,False,False,1.9743209498391805,2.261482645387028,1.5346157831256386
