Treatment,Plot,Quadrat,Fenced,Gap,0,3,6
Control,2,1,False,False,1.45068790361417,1.623204113672013,0.6058865608820283
Control,2,2,False,False,1.3874800909641731,1.816931464197549,1.3288908323952968
Control,2,3,False,False,1.3208836019264445,1.2117730296214697,1.1438705696501388
Control,2,4,False,False,1.5606004544943723,1.777314420648444,1.0839154453946447
Control,2,5,False,False,1.2355499901679532,1.3326699097927481,0.7332054497125482
Control,2,6,False,False,1.2995361786709645,1.1398389577043797,1.0874854330711847
Control,2,7,False,False,1.0504685943676095,1.3479653855695242,0.9889301676682527
Control,2,8,False,False,0.9106061573624116,0.8688836308192401,0.7640984387133465
Control,2,9,False,False,1.418063409462273,0.7356219397587946,0.5658830100023895
Control,2,10,False,False,1.103612605258721,1.5411025648043517,1.132012048084099
Control,2,11,False,False,1.3438285004891766,1.363465651569642,1.034555229697605
Control,2,12,False,False,1.4250982141412671,0.7931245362020373,0.9161043239935007
Control,2,13,False,False,1.3294188154524211,1.6255883594049654,0.7602400253400186
Control,2,14,False,False,0.8233532388791387,1.5601790992102327,0.8673321476144915
Control,2,15,False,False,1.695865445077461,1.537455550246541,1.2435020540642794
Control,2,16,False,False,1.393195761119089,1.2637556263047762,1.3767614342014212
Control,4,1,False,True,1.0813952613441098,1.3769422074856923,0.9849048957451805
Control,4,2,False,False,1.5960012202099314,1.7133183856188472,0.6645932978806925
Control,4,3,False,True,0.9236550387969267,1.1001381955187441,0.5763974616697749
Control,4,4,False,True,1.1903952356215304,1.317656331880933,0.5043837861979852
Control,4,5,False,True,1.3782834366654102,1.2147842430948734,0.5210998264900263
Control,4,6,False,True,0.787469702264783,1.8693314583338685,0.5881725091374675
Control,4,7,False,False,0.5043837861979852,1.5140077149431486,0.4787180741389978
Control,4,8,False,False,0.9106061573624114,1.124147765604484,0.4787180741389978
Control,4,9,False,True,0.6551494441091735,1.3922489178904893,1.9913464134109882
Control,4,10,False,True,1.038354563353322,1.7378559445703727,0.5984821227433037
Control,4,11,False,True,0.8535211261351181,1.2391754689257815,0.6114521402660009
Control,4,12,False,False,0.6049583974865769,1.5242317179887515,1.920676592017158
Control,4,13,False,True,0.9524303320983686,1.2538394733238638,0.9002265010848503
Control,4,14,False,True,1.0472559679279885,1.7031087202132482,0.9997456224067811
Control,4,15,False,False,0.3821035837837442,1.096963756484486,0.42178900432912086
Control,4,16,False,True,0.798881044935807,1.8401189454288966,0.648850664839577
Control,4,17,False,False,0.6551494441091734,1.4698632167424874,1.8711604142318066
Control,4,18,False,False,0.8535211261351182,1.1762951291264745,0.9722771226030379
Control,4,19,False,False,0.6551494441091734,1.2012012439388071,0.45248920999992026
Control,4,20,False,False,1.393195761119089,1.3626856450495384,1.4412823038161195
